prize_year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_longitude,birth_latitude,birth_country,gender,organization_name,organization_city,organization_longitude,organization_latitude,organization_country,death_date,death_city,death_country
1901,Chemistry,The Nobel Prize in Chemistry 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",1-Jan,160,Individual,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,4.4777325,51.9244201,Netherlands,Male,Berlin University,Berlin,13.404954,52.5200066,Germany,01/03/1911,Berlin,Germany
1901,Literature,The Nobel Prize in Literature 1901,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",1-Jan,569,Individual,Sully Prudhomme,1839-03-16,Paris,2.3522219,48.856614,France,Male,NA,NA,NA,NA,NA,07/09/1907,Châtenay,France
1901,Medicine,The Nobel Prize in Physiology or Medicine 1901,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",1-Jan,293,Individual,Emil Adolf von Behring,1854-03-15,Hansdorf (Lawice),138.8095918,-35.0288939,Prussia (Poland),Male,Marburg University,Marburg,NA,NA,Germany,31/03/1917,Marburg,Germany
1901,Peace,The Nobel Peace Prize 1901,NA,1-Feb,462,Individual,Jean Henry Dunant,1828-05-08,Geneva,6.1431577,46.2043907,Switzerland,Male,NA,NA,NA,NA,NA,30/10/1910,Heiden,Switzerland
1901,Peace,The Nobel Peace Prize 1901,NA,1-Feb,463,Individual,Frédéric Passy,1822-05-20,Paris,2.3522219,48.856614,France,Male,NA,NA,NA,NA,NA,12/06/1912,Paris,France
1901,Physics,The Nobel Prize in Physics 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",1-Jan,1,Individual,Wilhelm Conrad Röntgen,1845-03-27,Lennep (Remscheid),7.2666284,51.1897588,Prussia (Germany),Male,Munich University,Munich,11.5819806,48.1351253,Germany,10/02/1923,Munich,Germany
1902,Chemistry,The Nobel Prize in Chemistry 1902,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",1-Jan,161,Individual,Hermann Emil Fischer,1852-10-09,Euskirchen,6.7899945,50.6574392,Prussia (Germany),Male,Berlin University,Berlin,13.404954,52.5200066,Germany,15/07/1919,Berlin,Germany
1902,Literature,The Nobel Prize in Literature 1902,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",1-Jan,571,Individual,Christian Matthias Theodor Mommsen,1817-11-30,Garding,8.7865482,54.3295187,Schleswig (Germany),Male,NA,NA,NA,NA,NA,01/11/1903,Charlottenburg,Germany
1902,Medicine,The Nobel Prize in Physiology or Medicine 1902,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",1-Jan,294,Individual,Ronald Ross,1857-05-13,Almora,79.646666,29.5892407,India,Male,University College,Liverpool,NA,NA,United Kingdom,16/09/1932,Putney Heath,United Kingdom
1902,Peace,The Nobel Peace Prize 1902,NA,1-Feb,464,Individual,_lie Ducommun,1833-02-19,Geneva,6.1431577,46.2043907,Switzerland,Male,NA,NA,NA,NA,NA,07/12/1906,Bern,Switzerland
